,r6i1p1f1,r21i1p2f1,r13i1p2f1,r19i1p2f1,r17i1p1f1,r3i1p2f1,r11i1p1f1,r14i1p2f1,r14i1p1f1,r7i1p2f1,r12i1p2f1,r12i1p1f1,r17i1p2f1,r7i1p1f1,r25i1p1f1,r11i1p2f1,r18i1p1f1,r4i1p2f1,r21i1p1f1,r15i1p2f1,r23i1p2f1,r9i1p1f1,r25i1p2f1,r20i1p2f1
1988,-1.088059014,1.647827522,-0.297173699,-1.235989922,-0.552795342,1.616370308,-0.01605584,-1.508385857,0.333200447,2.873540413,1.039668037,-2.040505913,1.675606758,1.878384468,1.955638496,0.854745247,1.23432624,-0.434073113,-0.418452385,2.501934273,1.717613289,-1.430456169,2.043233101,-0.72590081
1989,1.762688667,0.939503242,1.652989265,1.775867988,1.170660164,0.523888618,1.966009285,-0.865827568,1.322105171,1.8173899,-0.216298149,0.372051155,0.663591682,2.987115547,-1.000074089,0.331862861,-1.882138298,-2.750982598,1.339673836,4.198922493,0.345846321,2.273581917,0.896512825,-0.068325432
1990,0.026417915,0.637409126,-1.362471245,2.663443672,2.287276985,1.600325691,2.020546028,3.734119636,1.870646736,2.154575569,1.603443977,0.855694038,2.716546699,3.333704902,2.503211128,1.99312812,0.521977302,0.446695015,-0.989872368,0.488575203,0.31660804,3.050417244,1.634653084,1.705685798
1991,4.346466438,1.658007881,1.455925056,-3.937222832,1.034370491,3.021986458,-0.630870293,1.316929085,2.328878547,-1.328879021,2.262775032,3.155911628,3.768756477,-0.431530693,2.116124641,1.613013679,1.713545906,1.150400154,2.144276802,2.113650886,1.60042823,2.083137275,-0.254504631,0.381501533
1992,1.125444404,-0.640532158,1.207707283,-0.156515129,-1.657151421,2.447297737,1.411336433,2.284397651,2.527318184,-0.382622612,-1.317527397,1.712132332,-0.625297173,0.058342048,-3.938801506,-2.622569206,0.368217232,-1.003408745,-0.733397759,1.263772651,3.165442268,-1.273899468,2.047411873,-0.333959282
1993,0.182927925,0.136703254,-0.171249016,3.706281502,-0.196200493,-3.729715203,2.838495247,0.763425361,-1.758382805,2.720292122,1.675620796,-1.593265923,0.201135627,0.685405037,4.209478523,1.799296028,2.492395088,0.831980659,3.149851448,1.290775215,1.050672065,-0.963535698,0.955508186,-0.008085564
1994,3.078630134,2.61693885,-1.317769402,-0.019601677,0.12005439,1.156927253,2.953625557,1.525204231,-0.562318962,2.172819282,-0.380305107,2.009540169,2.431384346,2.374274971,0.36996894,2.801330635,1.889175483,0.907896492,1.638761665,0.43826606,1.464410164,-1.496088188,-1.492463005,-1.455391777
1995,2.630531685,0.979755928,1.548203804,2.306222603,2.15867469,1.825405952,2.78089637,-0.836547173,1.482894966,4.033842537,-1.752286309,2.765410835,0.636757881,3.346720344,1.359408027,3.005380317,2.177105476,1.836266243,-2.967206658,-0.19552636,-0.315360039,1.011135627,2.270370247,1.435768501
1996,0.118427192,3.309943001,-2.044315422,1.813988716,2.107104561,3.151375496,0.367775032,2.016679451,2.46739936,-3.922551506,0.211348335,3.08258918,2.41338813,-2.43951043,1.629896614,3.150711738,-0.159071282,2.549501716,-1.515512322,2.290986397,2.788705513,3.965918953,1.423317024,1.403565742
1997,2.300122749,2.17173011,0.650021431,1.46917762,2.459989692,1.619528877,0.169369575,1.504640266,-0.1321148,4.258956978,2.726033699,4.368331062,0.553881904,1.704385444,2.38408271,1.411403572,0.792230598,-0.054782952,8.916967537,3.351637642,2.683853828,3.918495247,0.897457344,1.413371956
